alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,553.621,0.000139591,574.261,0.0323995
0.15,398.423,0.000125678,424.902,0.0291967
0.2,341.414,0.000122789,341.391,0.0288841
0.25,311.159,0.000122904,302.383,0.0275448
0.3,270.902,0.000133716,273.821,0.0282831
0.35,263.618,0.000132291,259.761,0.0277322
0.4,252.338,0.000131534,254.641,0.0266652
0.45,250.265,0.00012368,249.537,0.0263879
0.5,250,0.000174577,250,0.0247917
0.55,251.963,0.000166301,250.737,0.0246557
0.6,255.492,0.000170847,254.822,0.0240269
0.65,260.058,0.000175498,260.001,0.0239536
0.7,263.451,0.000180447,263.15,0.0233866
0.75,271.653,0.000161341,265.799,0.023017
0.8,273.849,0.000126578,280.993,0.0226721
0.85,285.749,0.000116616,281.844,0.0225911
0.9,295.35,0.00011617,293.523,0.0222061
0.95,304.344,0.000115343,303.643,0.0214715
