alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,3.97555,1.9734e-05,3.82738,2.7145e-05
0.15,2.68707,1.9626e-05,2.70857,2.6118e-05
0.2,2.20151,1.955e-05,2.16001,2.5746e-05
0.25,1.89975,1.9248e-05,1.89377,2.5563e-05
0.3,1.68533,1.951e-05,1.69581,2.513e-05
0.35,1.59698,1.947e-05,1.58983,2.483e-05
0.4,1.53255,1.9273e-05,1.53229,2.4414e-05
0.45,1.50703,1.9268e-05,1.50528,2.4205e-05
0.5,1.5,1.9468e-05,1.5,2.4273e-05
0.55,1.51261,1.9156e-05,1.5062,2.3832e-05
0.6,1.52701,1.939e-05,1.52566,2.3607e-05
0.65,1.54672,1.9216e-05,1.55493,2.3428e-05
0.7,1.5796,1.9019e-05,1.58928,2.2887e-05
0.75,1.61791,1.9141e-05,1.6416,2.2905e-05
0.8,1.6814,1.9112e-05,1.67229,2.3029e-05
0.85,1.69715,1.9114e-05,1.71072,2.2463e-05
0.9,1.77391,1.8883e-05,1.7616,2.2997e-05
0.95,1.84699,1.8963e-05,1.83499,2.2372e-05
