alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,253.483,6.8942e-05,247.064,0.0040514
0.15,178.533,6.6739e-05,182.256,0.00368428
0.2,140.835,7.0115e-05,144.865,0.00370764
0.25,121.586,6.5927e-05,124.588,0.00338302
0.3,114.451,6.8881e-05,113.315,0.00341085
0.35,106.509,6.4765e-05,106.212,0.00316367
0.4,102.759,6.8267e-05,102.339,0.0031941
0.45,100.605,6.6676e-05,100.595,0.00294476
0.5,100,6.8398e-05,100,0.00298004
0.55,100.408,6.4724e-05,100.373,0.0028109
0.6,101.232,6.7162e-05,101.921,0.0028163
0.65,103.21,6.2916e-05,103.858,0.00266687
0.7,106.168,6.8265e-05,105.442,0.00266197
0.75,107.828,6.2765e-05,107.56,0.00252716
0.8,111.473,6.5969e-05,110.322,0.00253099
0.85,115.147,6.2244e-05,115.334,0.00240122
0.9,114.96,6.546e-05,117.292,0.00242043
0.95,120.03,6.2109e-05,122.069,0.00227241
