alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,65.031,2.7656e-05,63.2575,0.000439062
0.15,42.2187,2.6212e-05,45.2957,0.000421672
0.2,36.8985,2.6504e-05,35.1406,0.000430183
0.25,31.1665,2.6145e-05,31.1455,0.000401304
0.3,28.1391,2.9607e-05,28.2203,0.000394207
0.35,26.6283,2.6413e-05,26.6697,0.00039772
0.4,25.5544,2.6002e-05,25.457,0.000396131
0.45,25.0995,2.5561e-05,25.1986,0.000406413
0.5,25,2.6293e-05,25,0.000369155
0.55,25.0817,2.543e-05,25.0989,0.00036885
0.6,25.4537,2.512e-05,25.4516,0.000363643
0.65,25.909,2.532e-05,25.7343,0.000433236
0.7,26.3465,2.5145e-05,26.4871,0.000367422
0.75,27.3104,2.5669e-05,26.9798,0.000341849
0.8,27.5014,2.5577e-05,28.0434,0.000352735
0.85,28.5814,2.5788e-05,28.7046,0.000342056
0.9,29.0096,2.5924e-05,29.4745,0.000338892
0.95,30.2133,2.9257e-05,30.5216,0.000333183
