alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,126.947,3.4182e-05,123.319,0.00117641
0.15,94.242,3.126e-05,89.2569,0.00110446
0.2,70.7431,3.0487e-05,68.9939,0.00110208
0.25,63.3384,3.0508e-05,60.1766,0.00106278
0.3,56.1181,3.0334e-05,57.3423,0.00118205
0.35,54.0748,3.0037e-05,53.3948,0.00127383
0.4,51.1299,3.0176e-05,50.7785,0.00107427
0.45,50.3184,3.2198e-05,50.193,0.00118
0.5,50,3.0642e-05,50,0.001239
0.55,50.2778,3.0099e-05,50.2908,0.00117609
0.6,50.9131,3.25e-05,50.9107,0.00105021
0.65,51.2272,2.9897e-05,51.8628,0.000941298
0.7,52.6605,2.9685e-05,52.6209,0.000916864
0.75,53.9053,3.0342e-05,54.5916,0.000920314
0.8,56.7348,2.9799e-05,55.2574,0.000897558
0.85,57.8068,2.9842e-05,57.4445,0.000888453
0.9,60.1577,3.0562e-05,59.3993,0.000970705
0.95,59.9595,2.9247e-05,59.7937,0.000932819
