alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,1643.39,0.000309224,1675.97,0.190034
0.15,1219.19,0.000302277,1228.2,0.177796
0.2,1010.72,0.000297521,1034.23,0.167128
0.25,918.45,0.000292332,900.979,0.157554
0.3,828.531,0.000287484,822.795,0.149505
0.35,785.711,0.000282178,784.739,0.142829
0.4,764.107,0.000282148,758.635,0.136675
0.45,750.555,0.00027469,750.548,0.131876
0.5,750,0.000273647,750,0.131207
0.55,755.801,0.000271091,755.812,0.135879
0.6,768.689,0.00027003,767.746,0.122715
0.65,778.068,0.000265014,781.481,0.121158
0.7,789.882,0.000266426,796.639,0.117246
0.75,809.832,0.000261192,809.591,0.11376
0.8,828.895,0.00025941,834.012,0.105401
0.85,856.542,0.000256628,855.649,0.101222
0.9,872.053,0.000257572,877.557,0.101827
0.95,912.446,0.000253383,907.923,0.0981414
