alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,2.57728,1.7044e-05,2.59445,2.092e-05
0.15,1.80999,1.6594e-05,1.77169,2.1344e-05
0.2,1.46103,1.5578e-05,1.44919,2.0171e-05
0.25,1.26581,1.5834e-05,1.25315,2.0657e-05
0.3,1.12364,1.5609e-05,1.12728,2.0028e-05
0.35,1.06376,1.6525e-05,1.06553,1.9586e-05
0.4,1.02755,1.5514e-05,1.02915,1.9638e-05
0.45,1.0064,1.5848e-05,1.006,1.9397e-05
0.5,1,1.5714e-05,1,1.9268e-05
0.55,1.00226,1.5522e-05,1.00129,1.9051e-05
0.6,1.01381,1.5541e-05,1.01728,1.8966e-05
0.65,1.02807,1.5601e-05,1.04102,1.8887e-05
0.7,1.05767,1.5643e-05,1.05899,1.8704e-05
0.75,1.0829,1.5581e-05,1.08742,1.8765e-05
0.8,1.11801,1.5451e-05,1.10873,1.8691e-05
0.85,1.14479,1.5533e-05,1.14361,1.8352e-05
0.9,1.17844,1.5675e-05,1.17112,1.8478e-05
0.95,1.21355,1.5452e-05,1.22172,1.9104e-05
