alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,1.21515,1.6129e-05,1.28936,1.6526e-05
0.15,0.92753,1.4716e-05,0.86777,1.6235e-05
0.2,0.708641,1.2556e-05,0.720633,1.6406e-05
0.25,0.622568,1.3185e-05,0.620786,1.6094e-05
0.3,0.57021,1.2488e-05,0.565939,1.6068e-05
0.35,0.533271,1.312e-05,0.537187,1.5799e-05
0.4,0.509847,1.2699e-05,0.511165,1.5974e-05
0.45,0.50314,1.2437e-05,0.503175,2.2576e-05
0.5,0.5,1.2537e-05,0.5,1.7011e-05
0.55,0.502293,1.2192e-05,0.501723,1.5811e-05
0.6,0.50888,1.2565e-05,0.510564,1.5765e-05
0.65,0.514825,1.2416e-05,0.517296,1.532e-05
0.7,0.525979,1.2513e-05,0.523551,1.5574e-05
0.75,0.545349,1.2402e-05,0.546432,1.5298e-05
0.8,0.548909,1.2653e-05,0.559632,1.5616e-05
0.85,0.57478,1.2442e-05,0.571808,1.5125e-05
0.9,0.58834,1.2205e-05,0.59326,1.5556e-05
0.95,0.600973,1.2372e-05,0.611267,1.889e-05
