alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,125.835,3.6728e-05,127.753,0.000922863
0.15,89.9035,3.3772e-05,91.7241,0.000873445
0.2,69.8551,3.6216e-05,72.078,0.000841777
0.25,64.1237,3.2713e-05,63.8188,0.000801915
0.3,56.0485,3.3139e-05,57.2975,0.000758611
0.35,53.0722,3.4086e-05,53.4534,0.000757071
0.4,51.1611,3.4511e-05,51.3294,0.000723262
0.45,50.3185,3.2417e-05,50.1777,0.000703542
0.5,50,3.2526e-05,50,0.000676338
0.55,50.1718,3.2283e-05,50.3316,0.000668652
0.6,50.9978,3.6029e-05,51.0254,0.000652651
0.65,52.1742,3.2411e-05,51.8053,0.000632148
0.7,53.0261,3.1657e-05,52.507,0.000615467
0.75,54.5966,3.1769e-05,53.8792,0.000601015
0.8,55.5972,3.166e-05,55.8836,0.000584688
0.85,57.2045,3.1703e-05,57.3793,0.000567677
0.9,58.6389,3.1368e-05,58.9078,0.000573295
0.95,60.3287,3.1306e-05,60.4446,0.000536035
