alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,189.333,7.087e-05,199.604,0.00232564
0.15,133.782,6.591e-05,139.106,0.00216706
0.2,110.135,6.5115e-05,108.775,0.00204713
0.25,95.1174,6.4407e-05,92.3074,0.00193505
0.3,85.0976,6.4438e-05,85.7454,0.00187596
0.35,79.8512,6.3719e-05,79.4987,0.00176695
0.4,76.611,6.4493e-05,76.7294,0.00170359
0.45,75.4011,6.3169e-05,75.2456,0.00161532
0.5,75,6.3168e-05,75,0.00157203
0.55,75.2789,7.0632e-05,75.4835,0.00150114
0.6,76.1791,6.3087e-05,76.6521,0.00145007
0.65,77.9381,6.6687e-05,77.6035,0.00140336
0.7,79.3073,6.1297e-05,79.5673,0.00134711
0.75,81.2301,6.1042e-05,81.1247,0.00133141
0.8,82.9077,6.1465e-05,82.3142,0.00126801
0.85,86.722,6.0614e-05,85.426,0.00122634
0.9,88.0044,6.0102e-05,89.9698,0.00116693
0.95,90.4084,7.0043e-05,91.8268,0.00112158
