alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,367.649,8.7039e-05,360.721,0.00688073
0.15,265.888,8.4563e-05,275.898,0.00648151
0.2,209.491,8.3713e-05,216.898,0.00606367
0.25,189.202,8.3101e-05,185.107,0.0057355
0.3,169.055,8.3813e-05,169.22,0.00549795
0.35,159.431,8.311e-05,158.98,0.00520475
0.4,153.263,8.0881e-05,153.533,0.00494238
0.45,150.806,8.2446e-05,150.776,0.00477512
0.5,150,7.9823e-05,150,0.00458231
0.55,150.945,8.045e-05,150.855,0.00437255
0.6,152.755,7.9781e-05,152.158,0.00422465
0.65,154.181,7.9707e-05,155.012,0.00411004
0.7,159.682,7.9928e-05,158.728,0.00387279
0.75,162.622,7.8749e-05,162.214,0.0038141
0.8,164.892,7.8189e-05,168.152,0.00364106
0.85,171.391,7.7763e-05,170.571,0.00353589
0.9,177.19,7.7208e-05,176.035,0.00341203
0.95,183.651,7.8895e-05,179.499,0.00334343
