alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,39.0505,3.3711e-05,38.9426,0.00020825
0.15,27.0217,3.2698e-05,27.0997,0.000192951
0.2,21.8944,3.2817e-05,21.6853,0.000183549
0.25,18.991,3.249e-05,18.5605,0.000177075
0.3,17.1137,3.2127e-05,16.8786,0.00016877
0.35,16.0698,3.1707e-05,15.9169,0.000161126
0.4,15.276,3.2187e-05,15.2818,0.000154326
0.45,15.1086,3.1754e-05,15.0603,0.000151738
0.5,15,3.1456e-05,15,0.000145651
0.55,15.0547,3.1563e-05,15.1153,0.000141871
0.6,15.2857,3.1705e-05,15.3176,0.00013698
0.65,15.5326,3.1418e-05,15.4912,0.000132721
0.7,15.7847,3.0975e-05,15.9435,0.000126778
0.75,16.1387,3.0998e-05,16.3443,0.00012366
0.8,16.5124,3.0758e-05,16.6026,0.000126717
0.85,17.0673,3.1167e-05,17.356,0.000117458
0.9,17.784,3.0757e-05,17.5245,0.000117299
0.95,18.4515,3.1447e-05,18.0685,0.000113118
