# Best_alpha = -0.998000 Best_beta = -0.998000 Best_Energy = -0.998000 index of best_ vals = 2
mean(E_l), std(E_l), Var(E_l), alpha, beta
-1.920955, 0.000000, 0.000000, -0.903000, 0.000000, 
-1.915929, 0.000000, 0.000000, -0.902000, 0.000000, 
-1.962383, 0.000000, 0.000000, -0.901000, 0.000000, 
-1.919657, 0.000000, 0.000000, -0.900000, 0.000000, 
-1.907816, 0.000000, 0.000000, -0.899000, 0.000000, 
-1.948419, 0.000000, 0.000000, -0.898000, 0.000000, 
-1.982689, 0.000000, 0.000000, -0.897000, 0.000000, 
-1.916054, 0.000000, 0.000000, -0.896000, 0.000000, 
-1.862470, 0.000000, 0.000000, -0.895000, 0.000000, 
-1.940104, 0.000000, 0.000000, -0.894000, 0.000000, 
-1.907134, 0.000000, 0.000000, -0.893000, 0.000000, 
-1.937066, 0.000000, 0.000000, -0.892000, 0.000000, 
-1.903402, 0.000000, 0.000000, -0.891000, 0.000000, 
-1.881251, 0.000000, 0.000000, -0.890000, 0.000000, 
-1.899087, 0.000000, 0.000000, -0.889000, 0.000000, 
-1.904947, 0.000000, 0.000000, -0.888000, 0.000000, 
-1.898773, 0.000000, 0.000000, -0.887000, 0.000000, 
-1.892159, 0.000000, 0.000000, -0.886000, 0.000000, 
-1.876151, 0.000000, 0.000000, -0.885000, 0.000000, 
-1.896392, 0.000000, 0.000000, -0.884000, 0.000000, 
-1.807560, 0.000000, 0.000000, -0.883000, 0.000000, 
-1.795580, 0.000000, 0.000000, -0.882000, 0.000000, 
-1.884848, 0.000000, 0.000000, -0.881000, 0.000000, 
-1.851752, 0.000000, 0.000000, -0.880000, 0.000000, 
-1.883046, 0.000000, 0.000000, -0.879000, 0.000000, 
-1.866526, 0.000000, 0.000000, -0.878000, 0.000000, 
-1.909753, 0.000000, 0.000000, -0.877000, 0.000000, 
-1.887719, 0.000000, 0.000000, -0.876000, 0.000000, 
-1.892419, 0.000000, 0.000000, -0.875000, 0.000000, 
-1.852527, 0.000000, 0.000000, -0.874000, 0.000000, 
-1.829946, 0.000000, 0.000000, -0.873000, 0.000000, 
-1.838817, 0.000000, 0.000000, -0.872000, 0.000000, 
-1.774174, 0.000000, 0.000000, -0.871000, 0.000000, 
-1.858362, 0.000000, 0.000000, -0.870000, 0.000000, 
-1.843129, 0.000000, 0.000000, -0.869000, 0.000000, 
-1.881270, 0.000000, 0.000000, -0.868000, 0.000000, 
-1.790684, 0.000000, 0.000000, -0.867000, 0.000000, 
-1.833534, 0.000000, 0.000000, -0.866000, 0.000000, 
-1.830219, 0.000000, 0.000000, -0.865000, 0.000000, 
-1.905517, 0.000000, 0.000000, -0.864000, 0.000000, 
-1.887756, 0.000000, 0.000000, -0.863000, 0.000000, 
-1.845119, 0.000000, 0.000000, -0.862000, 0.000000, 
-1.804738, 0.000000, 0.000000, -0.861000, 0.000000, 
-1.855024, 0.000000, 0.000000, -0.860000, 0.000000, 
-1.838003, 0.000000, 0.000000, -0.859000, 0.000000, 
-1.848308, 0.000000, 0.000000, -0.858000, 0.000000, 
-1.739149, 0.000000, 0.000000, -0.857000, 0.000000, 
-1.835306, 0.000000, 0.000000, -0.856000, 0.000000, 
-1.738688, 0.000000, 0.000000, -0.855000, 0.000000, 
-1.762726, 0.000000, 0.000000, -0.854000, 0.000000, 
-1.862639, 0.000000, 0.000000, -0.853000, 0.000000, 
-1.820903, 0.000000, 0.000000, -0.852000, 0.000000, 
-1.801843, 0.000000, 0.000000, -0.851000, 0.000000, 
-1.790727, 0.000000, 0.000000, -0.850000, 0.000000, 
-1.793592, 0.000000, 0.000000, -0.849000, 0.000000, 
-1.790955, 0.000000, 0.000000, -0.848000, 0.000000, 
-1.811552, 0.000000, 0.000000, -0.847000, 0.000000, 
-1.780627, 0.000000, 0.000000, -0.846000, 0.000000, 
-1.834558, 0.000000, 0.000000, -0.845000, 0.000000, 
-1.802292, 0.000000, 0.000000, -0.844000, 0.000000, 
-1.819085, 0.000000, 0.000000, -0.843000, 0.000000, 
-1.808416, 0.000000, 0.000000, -0.842000, 0.000000, 
