alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,25.3742,2.8236e-05,25.8935,0.000143836
0.15,18.281,2.771e-05,18.4509,0.000136697
0.2,14.261,2.7295e-05,14.3065,0.000130615
0.25,12.6104,2.7342e-05,12.5842,0.00012988
0.3,11.3403,2.7089e-05,11.4124,0.000121841
0.35,10.6895,2.7066e-05,10.725,0.000117724
0.4,10.2701,2.7242e-05,10.241,0.000115112
0.45,10.0802,2.7161e-05,10.0573,0.000113868
0.5,10,2.6725e-05,10,0.000111338
0.55,10.0583,2.9045e-05,10.0355,0.000107288
0.6,10.1298,2.6842e-05,10.164,0.00010635
0.65,10.2999,2.708e-05,10.3741,0.000108339
0.7,10.5607,2.6688e-05,10.5655,0.000101372
0.75,10.8583,2.6836e-05,10.7754,9.7922e-05
0.8,11.2051,2.6837e-05,11.1528,9.5958e-05
0.85,11.6407,2.6712e-05,11.4209,9.6747e-05
0.9,11.8877,2.6578e-05,11.7012,9.4125e-05
0.95,12.2404,2.7616e-05,12.0899,9.2294e-05
