alpha,analytic_energy,analytic_time,numeric_energy,numeric_time
0.1,1136.45,0.00020055,1098.84,0.0830768
0.15,828.094,0.000201865,813.995,0.0780192
0.2,685.981,0.000197342,689.532,0.0739897
0.25,596.162,0.000194525,592.912,0.0715237
0.3,555.987,0.000197094,556.048,0.0691231
0.35,523.79,0.000191702,526.715,0.0659153
0.4,509.877,0.000192088,507.733,0.0637427
0.45,501.277,0.000187265,502.387,0.0616912
0.5,500,0.000188275,500,0.0601261
0.55,503.652,0.000186056,502.96,0.0583103
0.6,508.794,0.000183156,508.008,0.0564217
0.65,517.234,0.000185633,515.434,0.0548103
0.7,530.749,0.000180408,532.601,0.0537504
0.75,540.78,0.000182358,538.383,0.0520388
0.8,561.15,0.00017949,556.759,0.0516851
0.85,572.505,0.000177608,572.449,0.0498029
0.9,590.241,0.000177567,580.12,0.0492258
0.95,602.251,0.00017605,595.506,0.0472636
